Ticker,Name
TRTX,Tpg Re Finance Trust Inc
SM,Sm Energy Company
NICK,Nicholas Fincl Inc
BWINB,Baldwin & Lyons
PEI,Pennsylvania Real Estate Investment
AHPI,Allied Healthcare
DXYN,The Dixie Group
TPC,Tutor Perini Corp
KGJI,Kingold Jewelry Inc
GSVC,Next Innovation Corp.
MTGE,MTGE INVT CORP
AMC,Amc Entertainment Holdings Inc
CNDT,Conduent Inc
GPMT,Granite Point Mortgage Trust Inc
APRN,Blue Apron Holdings Inc
SENEA,Seneca Foods Cp A
DLA,Delta Apparel
DXR,Daxor Corp
SIF,Sifco Industries
TISI,Team Inc
XIN,Xinyuan Real Estate CO Ltd
SGRY,Surgery Partners CS
MESO,Mesoblast Ltd Ads
AOI,ALLIANCE ONE INTL INC
DEST,DESTINATION MATERNITY CORP
CSWC,Capital Southwest
CNNX,CONE MIDSTREAM PARTNERS LP
SD,Sandridge Energy Inc
LND,Brasilagro ADR
EEP,ENBRIDGE ENERGY PARTNERS L P
HPJ,Hong Kong Highpower Technology
ODP,Office Depot
GBLI,Global Indemnity Plc
AJX,Great Ajax Corp
NHLD,National Holdings
BBG,BARRETT BILL CORP
HLX,Helix Energy Solutions Group
AAME,Atlantic Amer Cp
RSO,RESOURCE CAP CORP
DM,Desktop Metal Inc
AAWW,Atlas Air Ww
CNTF,CHINA TECHFAITH WIRLS COMM TEC
BCEI,Bonanza Creek Energy Inc
TRQ,Turquoise Hill Resources Ltd
FNHC,Federated Natl Hld
EVHC,ENVISION HEALTHCARE CORP
PAGP,Plains Gp Holdings LP
NAVI,Navient Cp
MGP,MGM Growth Properties Llc
AUY,Yamana Gold
MCF,Contango Oil & Gas Company
ASFI,Asta Funding Inc
NYMT,New York Mtge Trust
AHL,ASPEN INSURANCE HOLDINGS LTD
OCN,Ocwen Financial Corp
ERJ,Embraer-Empresa Brasileira DE Aeronautica
CLWT,Euro Tech Hld
CSS,CSS INDS INC
PHII,PHI INC
PES,PIONEER ENERGY SVCS CORP
NVGS,Navigator Holdings
INSW,International Seaways Inc
RNGR,Ranger Energy Services Inc Cl A
AAIC,Arlington Asset Investment Corp
CLPR,Clipper Realty Inc
YOGA,YOGAWORKS INC
CMO,Capstead Mortgage Corp
FEIM,Frequency Elcts Inc
UMC,United Microelectronics Corp
CGI,CELADON GROUP INC
