Ticker, Name
GEL,Genesis Energy LP
DARE,Dare Bioscience Inc
GPRE,Green Plains Inc
SUP,Superior Industries International
JVA,Coffee Holding Company
EVK,Ever Glory Intl Group
FBP,First Bancorp
ANH,Anworth Mortgage Asset Corp
AMAG,Amag Pharmaceuticals
ACET,Adicet Bio Inc
CYH,Community Health Systems
JCS,Commun Systems Inc
BBOX,BLACK BOX CORP DEL
FTR,Frontier Commun Cp
TDS,Telephone and Data Systems
ANGI,Homeservices Inc
ENT,Global Eagle Entrtn
BCRH,Blue Capital Reinsurance
ABDC,ALCENTRA CAP CORP
FELP,FORESIGHT ENERGY LP
VRTV,Veritiv Corp
ICD,Independence Contract Drilling Inc
VSTO,Vista Outdoor Inc
KEYW,KEYW HLDG CORP
COHN,Cohen & CO Inc
CGBD,Tcg Bdc Inc
TIS,ORCHIDS PAPER PRODS CO DEL
PHH,PHH CORP
AFSI,AMTRUST FINL SVCS INC
SNFCA,Security Natl Finl
HALL,Hallmark Fin Svc
VSI,VITAMIN SHOPPE INC
RRTS,Roadrunner Transportation Systems Inc
AVHI,AV HOMES INC
TIPT,Tiptree Fncl Cl A
VBFC,Village Bank & Trust
MBI,MBIA Inc
AMBC,Ambac Financial Group
OCSI,Oaktree Strategic Income Corp
BURG,Chanticleer Hlds
WTM,White Mountains Insurance Group
MEET,The Meet Group
TORM,Tor Minerals International Inc
PNNT,Pennantpark Investme
GLRE,Greenlight Cap. Re.
AMS,American Shared Hospital Services
AVT,Avnet Inc
WLFC,Willis Lease Fin C
QEP,Qep Resources
MCC,Medley Capital Corp
GARS,Garrison Capital Inc
ENBL,Enable Midstream Partners LP
CETX,Cemtrex Inc
